date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2018-07-23,,135.844,10.0,,1421.165,6.0,104.0,,,,62.0,7911.0,
2018-07-24,,283.008,28.0,,1410.667,21.0,119.0,,,,57.0,11397.0,
2018-07-25,,539.748,80.0,,1470.508,18.0,137.0,,,,59.0,13314.0,
2018-07-26,,229.85,19.0,,1446.154,15.0,113.0,,,,57.0,9564.0,
2018-07-27,,519.115,76.0,,1467.215,16.0,131.0,,,,63.0,20388.0,
2018-07-28,,475.315,71.0,,1390.192,9.0,130.154,,,,61.0,8528.0,
2018-07-29,,0.36100000000000004,,,1308.711,7.0,120.0,,,,,4933.0,
2018-07-30,,407.671,68.0,,1417.877,15.0,120.43,,,,58.0,10843.0,
2018-07-31,,0.15000000000000002,,,1315.794,9.0,,,,,,3916.0,
2018-08-01,,194.498,14.0,,1386.035,1.0,181.0,,,,60.0,9603.0,
2018-08-02,,0.05,,,1339.586,11.0,85.0,,,,,4429.0,
2018-08-03,,190.829,16.0,,1400.176,4.0,118.0,,,,67.0,7199.0,
2018-08-04,,845.569,102.0,,1467.952,3.0,143.048,,,,69.0,16981.0,
2018-08-05,,779.423,112.0,,1595.953,3.0,178.0,,,,60.0,19110.0,
2018-08-06,,2.239,1.0,,1313.5049999999999,1.0,172.0,,,,,3679.0,
2018-08-07,,,,,1291.222,4.0,,,,,,5301.0,
2018-08-08,,315.423,46.0,,1433.656,14.0,128.0,,,,58.0,10478.0,
2018-08-09,,266.764,34.0,,1359.058,13.0,160.11,,,,,11497.0,
2018-08-10,,0.258,,,1276.759,2.0,,,,,,8257.0,
2018-08-11,,426.318,72.0,,1467.219,12.0,109.0,,,,58.0,13138.0,
2018-08-12,,177.009,13.0,,1365.547,4.0,101.0,,,,56.0,6562.0,
2018-08-13,,92.926,20.0,,1363.608,5.0,102.137,,,,,4718.0,
2018-08-14,,281.699,69.0,,1344.361,5.0,108.433,,,,,7189.0,
2018-08-15,,225.602,24.0,,1395.036,26.0,104.0,,,,59.0,10636.0,
2018-08-16,,27.44,3.0,,1315.449,14.0,108.0,,,,,6952.0,
2018-08-17,,467.489,56.0,,1407.247,13.0,142.836,,,,62.0,16082.0,
2018-08-18,,464.981,42.0,,1546.937,12.0,164.0,,,,55.0,17577.0,
2018-08-19,,311.344,38.0,,1411.056,33.0,109.0,,,,60.0,30303.0,
2018-08-20,,463.121,52.0,,1502.732,20.0,131.0,,,,62.0,23149.0,
2018-08-21,,6.399,,,1318.7,11.0,70.0,,,,50.0,12752.0,
2018-08-22,,0.051,,,1277.189,5.0,,,,,,8653.0,
2018-08-23,,676.402,66.0,,1491.909,16.0,168.448,,,,63.0,18582.0,
2018-08-24,,878.58,99.0,,1505.923,35.0,167.901,,,,61.0,22488.0,
2018-08-25,,,,,1314.6480000000001,3.0,,,,,,10323.0,
2018-08-26,,176.613,9.0,,1429.567,5.0,161.0,,,,59.0,16948.0,
2018-08-27,,184.885,30.0,,1308.333,,128.027,,,,,4555.0,
2018-08-28,,0.051,,,1337.279,1.0,,,,,,2178.0,
2018-08-29,,199.111,22.0,,1390.635,9.0,107.0,,,,68.0,13963.0,
2018-08-30,,161.824,17.0,,1384.692,9.0,105.0,,,,57.0,11437.0,
2018-08-31,,422.31,61.0,,1468.356,11.0,106.658,,,,56.0,16014.0,
2018-09-01,,284.686,23.0,,1438.419,5.0,94.0,,,,57.0,12976.0,
2018-09-02,,630.997,64.0,,1419.471,22.0,184.0,,,,58.0,14475.0,
2018-09-03,,1030.831,143.0,,1417.758,34.0,160.0,,,,,29535.0,
2018-09-04,,143.85,15.0,,1340.364,5.0,140.0,,,,,9826.0,
2018-09-05,,412.565,47.0,,1428.311,26.0,182.0,,,,56.0,11794.0,
2018-09-06,,539.833,83.0,,1349.211,8.0,167.0,,,,58.0,14733.0,
2018-09-07,,0.275,,,1307.944,5.0,,,,,,4904.0,
2018-09-08,,389.139,41.0,,1403.848,6.0,162.0,,,,69.0,11886.0,
2018-09-09,,726.682,87.0,,1397.758,18.0,183.0,,,,61.0,15645.0,
2018-09-10,,44.168,2.0,,1326.519,13.0,133.0,,,,,6439.0,
2018-09-11,,3.084,,,1345.623,13.0,104.0,,,,,8055.0,
2018-09-12,,392.668,36.0,,1506.299,16.0,97.0,,,,56.0,22200.0,
2018-09-13,,327.803,22.0,,1439.473,14.0,109.0,,,,60.0,14688.0,
2018-09-14,,1362.187,161.0,,1571.853,26.0,184.0,,,,73.0,34704.0,
2018-09-15,,1188.243,118.0,,1597.923,30.0,175.851,,,,68.0,28518.0,
2018-09-16,,221.96,22.0,,1391.871,11.0,111.0,,,,57.0,13506.0,
2018-09-17,,,,,1314.6480000000001,4.0,,,,,,3458.0,
2018-09-18,,290.035,23.0,,1447.969,21.0,103.0,,,,55.0,13799.0,
2018-09-19,,,,,1315.06,7.0,,,,,,4871.0,
2018-09-20,,0.164,,,1301.664,8.0,,,,,,5300.0,
2018-09-21,,230.10999999999999,26.0,,1416.142,13.0,111.0,,,,57.0,13595.0,
2018-09-22,,294.385,28.0,,1439.113,14.0,103.0,,,,52.0,15006.0,
2018-09-23,,222.197,17.0,,1442.548,17.0,118.0,,,,54.0,12581.0,
2018-09-24,,4.134,2.0,,1309.6200000000001,8.0,,,,,,2427.0,
2018-09-25,,1.047,,,1321.411,13.0,66.0,,,,,5428.0,
2018-09-26,,282.278,24.0,,1448.829,8.0,100.0,,,,50.0,14948.0,
2018-09-27,,,,,1305.478,8.0,,,,,,6039.0,
2018-09-28,,315.144,29.0,,1451.095,7.0,103.0,,,,62.0,8679.0,
2018-09-29,,240.54,14.0,,1417.951,,91.0,,,,56.0,6682.0,
2018-09-30,,399.645,32.0,,1451.006,1.0,107.0,,,,50.0,21039.0,
2018-10-01,,,,,1314.6480000000001,6.0,,,,,,4525.0,
2018-10-02,,242.432,19.0,,1451.426,5.0,115.0,,,,60.0,14395.0,
2018-10-03,,,,,1279.557,3.0,,,,,,4965.0,
2018-10-04,,213.782,31.0,,1440.365,10.0,105.0,,,,66.0,17821.0,
2018-10-05,,252.995,67.0,,1371.597,4.0,95.0,,,,63.0,20028.0,
2018-10-06,,372.272,105.0,,1339.049,15.0,169.0,,,,,9316.0,
2018-10-07,,0.635,,,1310.075,,183.0,,,,,4269.0,
2018-10-08,,281.227,12.0,,1430.86,2.0,123.0,,,,56.0,9430.0,
2018-10-09,,0.101,,,1338.777,4.0,,,,,,4870.0,
2018-10-10,,,,,1314.6480000000001,6.0,,,,,,10280.0,
2018-10-11,,0.198,,,1316.885,3.0,,,,,,3960.0,
2018-10-12,,,30.0,,1322.782,7.0,,,,,,3084.0,
2018-10-13,,589.907,59.0,,1436.269,23.0,159.893,,,,64.0,14423.0,
2018-10-14,,1.436,1.0,,1333.239,,,,,,,565.0,
2018-10-15,,0.136,30.0,,1305.804,1.0,,,,,,879.0,
2018-10-16,,,,,1314.368,5.0,,,,,,2027.0,
2018-10-17,,,30.0,,1311.086,4.0,,,,,,1533.0,
2018-10-18,,319.924,95.0,,1456.646,3.0,159.0,,,,60.0,34226.0,
2018-10-19,,0.056,,,1311.844,,,,,,,3056.0,
2018-10-20,,0.11,,,1321.12,,88.0,,,,,365.0,
2018-10-21,,,,,1314.6480000000001,2.0,,,,,,372.0,
2018-10-22,,0.151,,,1290.7350000000001,,78.0,,,,,664.0,
2018-10-23,,322.751,34.0,,1479.47,6.0,98.0,,,,58.0,11527.0,
2018-10-24,,0.20500000000000002,60.0,,1313.73,9.0,,,,,,1892.0,
2018-10-25,,1.182,1.0,,1312.528,,,,,,,17161.0,
2018-10-26,,,,,1313.8890000000001,5.0,,,,,,2993.0,
2018-10-27,,0.102,,,1276.473,2.0,128.0,,,,,184.0,
2018-10-28,,334.7,39.0,,1367.119,16.0,158.0,,,,,6375.0,
2018-10-29,,0.311,,,1312.531,5.0,36.0,,,,,6.0,
2018-10-30,,0.101,,,1048.082,4.0,,,,,,,
2018-10-31,,,,,1411.33,4.0,,,,,,15458.0,
2018-11-01,,,,,,,,,,,,23.0,
2018-11-02,,,,,,14.0,,,,,,,
2018-11-03,,,,,4065.772,1.0,,,,,,11745.0,
2018-11-04,,,,,1314.6480000000001,,,,,,,553.0,
2018-11-05,,,,,1314.6480000000001,9.0,,,,,,5832.0,
2018-11-06,,,,,1314.6480000000001,4.0,,,,,,2363.0,
2018-11-07,,,,,1314.6480000000001,4.0,,,,,,225.0,
2018-11-08,,,,,1314.6480000000001,3.0,,,,,,4313.0,
2018-11-09,,,,,1314.6480000000001,4.0,,,,,,5167.0,
